relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
RMR,32,3,5,0
플렉시리드줄,36,2,2,0
대마도자전거대여,6,1,0,0
야구방망이,34,3,3,0
월드컵방한화,35,1,4,0
노안돋보기안경,33,2,5,0
일회용샤워타올,24,8,8,0
전기장판커버,33,3,4,0
로트링600,37,1,2,0
산야초,32,4,4,0
스마트도어벨,38,0,2,0
차콜스타터,36,1,3,0
휘슬러믹싱볼,34,3,3,0
보성홍차아이스티,37,1,2,0
말하는선인장,34,1,4,1
세차버킷,32,3,5,0
폴햄키즈바지,35,2,3,0
레트로계산기,26,2,10,2
미아방지가방,23,6,10,1
갸프,37,2,1,0
가프,37,2,1,0
인조잔디야구화,37,1,2,0
볏짚,31,4,5,0
의자등받이커버,23,7,10,0
벨보아,28,1,8,3
문스와치스트랩,28,4,8,0
거북이쉼터,33,3,4,0
극세사가운,29,1,10,0
주짓수래쉬가드,35,3,2,0
식당유니폼,38,0,2,0
도로명주소판,35,2,3,0
개미키우기,35,3,2,0
멜로디언,38,2,0,0
인형키링만들기,30,2,7,1
남자부분가발,37,1,2,0
WPC우양산,31,2,5,2
고피쉬,39,1,0,0
링고벨,39,1,0,0
캐리어손잡이,33,0,7,0
포맥스사육장,36,1,3,0
야자매트,27,3,10,0
립그립,36,3,1,0
보청기배터리,36,2,2,0
극세사샤워가운,29,1,10,0
남아가디건,28,2,10,0
칼가는기계,35,2,3,0
아르떼펠레,33,1,5,1
LED응원봉,23,1,16,0
가스인두기,39,1,0,0
가림천,24,3,11,2
볶음고추장,33,2,5,0
중량벨트,37,2,1,0
TTC우레탄완충기,36,2,1,1
보쉬열풍기,40,0,0,0
이젤패드,39,1,0,0
경량안전모,38,1,1,0
한샘식기건조대,24,5,10,1
닥스머플러,25,4,11,0
레이저퍼터,39,0,1,0
깨갈이,26,2,11,1
언더아머더플백,34,3,3,0
갤럭시S23울트라대여,8,10,17,0
자석소마큐브,36,2,2,0
드럼연습패드,36,1,3,0
공업용계산기,39,1,0,0
핸즈프리리드줄,27,1,12,0
과일자르기장난감,30,3,7,0
바다낚시구명조끼,37,1,2,0
냄비뚜껑거치대,25,4,10,1
메팔푸르트팟,36,0,4,0
전동연필깍이,31,3,6,0
전동연필깎이,31,3,6,0
발해먹,34,4,2,0
막국수,33,2,5,0
요넥스배드민턴가방,29,5,6,0
저주파마사지,31,3,6,0
키즈이어머프,33,3,4,0
티즐제로,37,1,2,0
여행용세면도구파우치,20,6,14,0
인형만들기키트,19,3,17,1
강아지어질리티,32,1,7,0
치아접착제,39,0,1,0
라이프타임테이블,30,3,7,0
절구통,37,2,1,0
휴비딕체온계,38,0,2,0
농구공가방,32,3,5,0
복싱줄넘기,35,1,4,0
어그방수스프레이,32,5,3,0
쌀세척볼,24,3,11,2
수능선물세트,34,3,3,0
빅사이즈비키니,31,2,6,1
거북이밥,38,1,1,0
발디딤대,30,3,7,0
부분과전체,37,2,1,0
간이신발장,31,5,4,0
아기토퍼,21,5,14,0
배달우주복,39,1,0,0
유리본드,37,1,2,0
폰터스구명조끼,36,3,1,0
열패치,35,2,3,0
캠핑설거지건조대,30,3,7,0
날짜스탬프,34,3,3,0
이오나이저,40,0,0,0
셀프스튜디오,5,2,31,2
아일랜드파티션,27,1,12,0
콩잎장아찌,25,7,7,1
벌통,38,2,0,0
카시트발받침,34,2,4,0
파이프밴딩기,40,0,0,0
대나무숯,38,1,1,0
그림스,37,1,2,0
화구통,37,1,2,0
캐틀벨,30,7,3,0
커틀벨,30,7,3,0
기계식계산기,24,2,12,2
강아지짖음방지기,36,1,3,0
레몬스퀴즈,33,2,5,0
신생아겉싸개,24,10,6,0
어질리티,31,1,8,0
대광기포기,37,2,1,0
캠핑싱크대,29,3,7,1
문걸이선반,27,5,7,1
헤드테니스가방,33,4,3,0
전자호루라기,35,3,2,0
레인보우프렌즈레고,39,1,0,0
그린보수기,36,2,2,0
배워머,29,5,6,0
스완스수경,29,4,7,0
철제이젤,37,1,2,0
라바콘,36,1,3,0
아기독서대,28,3,9,0
트리오르골,25,3,11,1
할머니내복,29,4,7,0
키높이발판,29,5,6,0
페티코트,38,1,1,0
브리오기차,34,3,3,0
유모차장난감,28,6,6,0
아기볼풀장,31,4,5,0
너비아니,37,2,1,0
디즈니보석십자수,30,3,7,0
야구수비장갑,39,1,0,0
치즈볼,36,1,3,0
타일보수,19,9,11,1
코큐텐효능,34,4,2,0
유아시계,28,2,8,2
비비안웨스트우드스타킹,29,4,7,0
아이패드미니6케이스,26,6,8,0
타지마줄자,38,2,0,0
누름판,36,2,1,1
물온도계,38,0,2,0
세차솔,37,0,3,0
강아지목욕탕,29,2,8,1
의료용발목보호대,29,6,5,0
퀘스트바,39,1,0,0
퀘스트프로틴바,39,1,0,0
고무신,33,3,4,0
고임목,38,1,1,0
자바라커튼,21,4,14,1
탕온도계,36,1,3,0
아기겉싸개,25,9,6,0
현관문종,25,4,9,2
반스체커보드,30,2,8,0
어린이스마트워치,31,4,5,0
키즈스마트워치,31,4,5,0
소매치기방지가방,33,3,4,0
보타니컬아트,39,0,0,1
진도구기자,36,3,1,0
얼라이먼트스틱,37,0,3,0
화이텐,38,1,1,0
청계란,30,3,7,0
차량용맥세이프충전기,23,8,9,0
아기치실,34,5,1,0
터미타임장난감,26,5,7,2
새총,34,2,4,0
육아일기,31,1,8,0
에드학토치,39,0,1,0
곰표후라이드오징어튀김,34,0,6,0
스피도수경,31,3,5,1
도그페이스,29,2,8,1
피아노의자,38,0,2,0
계란보관함,20,4,13,3
카시오계산기,30,3,7,0
맥스귀마개,27,1,10,2
HK416,33,3,4,0
수동혈압계,38,0,2,0
조말론캔들,37,0,3,0
벽마감재,38,1,1,0
대방석,32,4,4,0
테이블철제다리,23,6,10,1
차량용공기주입기,39,1,0,0
시쿠,39,0,1,0
폴로손수건,34,0,6,0
건조기볼,24,5,10,1
레몬착즙기,33,2,5,0
은박돗자리,36,1,3,0
구워먹는치즈,28,7,5,0
압소바내의,34,2,4,0
학예회응원봉,26,4,10,0
콜팝용기,40,0,0,0
소토레귤레이터,30,3,7,0
자주파자마,28,7,5,0
오토바이보조스크린,37,1,2,0
에뜨와내의,35,2,3,0
맥세이프차량용충전기,23,8,9,0
플라스틱복원제,34,3,3,0
소라게,28,3,9,0
곤약라면,34,2,4,0
슬링샷,36,0,4,0
아기침대계단,35,2,3,0
자동와인오프너,31,5,3,1
폼랜스,31,5,4,0
임산부호박즙,34,3,3,0
비상벨,38,0,2,0
알칸타라핸들커버,32,4,4,0
자수턱받이,12,8,18,2
극세사로브,33,1,6,0
강아지욕조,24,4,11,1
애견욕조,24,4,11,1
킥보드악세사리,33,3,4,0
아이언그립,30,5,5,0
반스체커보드슬립온,30,2,8,0
건초,35,2,3,0
토슈즈,32,4,4,0
달항아리그림,28,2,9,1
맷돌,38,0,2,0
깨절구,29,3,8,0
코베아토치,33,5,2,0
애견미용테이블,27,4,8,1
완력기,38,0,2,0
